time,symbol,action,entry,sl,tp,exit,pnl,reason,pnl_cum
2025-07-25 15:25:00+00:00,EURUSD,buy,1.17227,1.17217,1.17237,1.17217,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-9.999999999998899e-05
2025-07-25 15:35:00+00:00,EURUSD,sell,1.17192,1.17202,1.17182,1.17182,9.999999999998899e-05,fallback_api_error: down vs SMA20,0.0
2025-07-25 15:45:00+00:00,EURUSD,sell,1.17134,1.17144,1.17124,1.17144,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-9.999999999998899e-05
2025-07-25 15:55:00+00:00,EURUSD,sell,1.17183,1.17193,1.17173,1.17193,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.00019999999999997797
2025-07-25 16:05:00+00:00,EURUSD,buy,1.17217,1.17207,1.17227,1.17207,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.00029999999999996696
2025-07-25 16:15:00+00:00,EURUSD,buy,1.17236,1.17226,1.17246,1.17226,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.00039999999999995595
2025-07-25 16:25:00+00:00,EURUSD,buy,1.17225,1.17215,1.17235,1.17215,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0004999999999999449
2025-07-25 16:35:00+00:00,EURUSD,sell,1.1715200000000001,1.17162,1.1714200000000001,1.17162,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0005999999999999339
2025-07-25 16:45:00+00:00,EURUSD,sell,1.17112,1.17122,1.17102,1.17122,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0006999999999999229
2025-07-25 16:55:00+00:00,EURUSD,buy,1.17218,1.17208,1.17228,1.17228,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0005999999999999339
2025-07-25 17:05:00+00:00,EURUSD,buy,1.17277,1.17267,1.17287,1.17267,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0006999999999999229
2025-07-25 17:15:00+00:00,EURUSD,buy,1.17323,1.17313,1.17333,1.17313,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0007999999999999119
2025-07-25 17:25:00+00:00,EURUSD,buy,1.17334,1.17324,1.17344,1.17324,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0008999999999999009
2025-07-25 17:35:00+00:00,EURUSD,buy,1.17307,1.17297,1.17317,1.17297,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0009999999999998899
2025-07-25 17:45:00+00:00,EURUSD,buy,1.17299,1.17289,1.17309,1.17289,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0010999999999998789
2025-07-25 17:55:00+00:00,EURUSD,buy,1.17295,1.17285,1.17305,1.17285,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0011999999999998678
2025-07-25 18:05:00+00:00,EURUSD,buy,1.17279,1.17269,1.17289,1.17289,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0010999999999998789
2025-07-25 18:15:00+00:00,EURUSD,buy,1.1733500000000001,1.1732500000000001,1.17345,1.1732500000000001,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0011999999999998678
2025-07-25 18:25:00+00:00,EURUSD,buy,1.17378,1.17368,1.17388,1.17368,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0012999999999998568
2025-07-25 18:35:00+00:00,EURUSD,sell,1.17296,1.17306,1.17286,1.17286,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0011999999999998678
2025-07-25 18:45:00+00:00,EURUSD,sell,1.17271,1.17281,1.17261,1.17281,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0012999999999998568
2025-07-25 18:55:00+00:00,EURUSD,sell,1.17291,1.1730099999999999,1.17281,1.1730099999999999,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0013999999999998458
2025-07-25 19:05:00+00:00,EURUSD,sell,1.17246,1.17256,1.17236,1.17256,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0014999999999998348
2025-07-25 19:15:00+00:00,EURUSD,sell,1.17232,1.17242,1.17222,1.17242,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0015999999999998238
2025-07-25 19:25:00+00:00,EURUSD,sell,1.1724700000000001,1.1725700000000001,1.1723700000000001,1.1723700000000001,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0014999999999998348
2025-07-25 19:35:00+00:00,EURUSD,sell,1.17264,1.17274,1.17254,1.17274,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0015999999999998238
2025-07-25 19:45:00+00:00,EURUSD,buy,1.17295,1.17285,1.17305,1.17285,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-25 19:55:00+00:00,EURUSD,buy,1.17289,1.17279,1.17299,1.17299,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-25 20:05:00+00:00,EURUSD,buy,1.17296,1.17286,1.17306,1.17306,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0014999999999998348
2025-07-25 20:15:00+00:00,EURUSD,buy,1.17288,1.17278,1.17298,1.17298,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0013999999999998458
2025-07-25 20:25:00+00:00,EURUSD,buy,1.17337,1.17327,1.17347,1.17347,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0012999999999998568
2025-07-25 20:35:00+00:00,EURUSD,buy,1.1739,1.1738,1.174,1.1738,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0013999999999998458
2025-07-25 20:45:00+00:00,EURUSD,buy,1.17363,1.17353,1.17373,1.17353,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0014999999999998348
2025-07-25 20:55:00+00:00,EURUSD,buy,1.17365,1.17355,1.17375,1.17375,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0013999999999998458
2025-07-25 21:05:00+00:00,EURUSD,buy,1.17399,1.17389,1.17409,1.17389,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0014999999999998348
2025-07-25 21:15:00+00:00,EURUSD,buy,1.17382,1.17372,1.17392,1.17372,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-25 21:25:00+00:00,EURUSD,buy,1.17408,1.17398,1.17418,1.17398,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-25 21:35:00+00:00,EURUSD,buy,1.17391,1.17381,1.17401,1.17401,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-25 21:50:00+00:00,EURUSD,buy,1.17453,1.17443,1.17463,1.17443,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-25 22:00:00+00:00,EURUSD,buy,1.17443,1.17433,1.17453,1.17433,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0017999999999998018
2025-07-25 22:10:00+00:00,EURUSD,buy,1.1742,1.1741,1.1743,1.1743,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-25 22:20:00+00:00,EURUSD,buy,1.17458,1.17448,1.17468,1.17468,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-25 22:30:00+00:00,EURUSD,buy,1.17452,1.17442,1.17462,1.17442,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-25 22:45:00+00:00,EURUSD,buy,1.17445,1.17435,1.17455,1.17435,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0017999999999998018
2025-07-25 22:55:00+00:00,EURUSD,buy,1.17438,1.17428,1.17448,1.17428,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0018999999999997907
2025-07-25 23:05:00+00:00,EURUSD,sell,1.17397,1.17407,1.17387,1.17387,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0017999999999998018
2025-07-25 23:20:00+00:00,EURUSD,sell,1.17378,1.17388,1.17368,1.17388,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0018999999999997907
2025-07-25 23:30:00+00:00,EURUSD,sell,1.17429,1.17439,1.17419,1.17419,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0017999999999998018
2025-07-25 23:40:00+00:00,EURUSD,sell,1.17416,1.17426,1.17406,1.17406,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0016999999999998128
2025-07-25 23:50:00+00:00,EURUSD,sell,1.17387,1.17397,1.17377,1.17397,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0017999999999998018
2025-07-28 00:00:00+00:00,EURUSD,buy,1.17486,1.17476,1.17496,1.17496,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-28 00:10:00+00:00,EURUSD,buy,1.17542,1.17532,1.17552,1.17552,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-28 00:20:00+00:00,EURUSD,buy,1.17541,1.17531,1.17551,1.17551,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0014999999999998348
2025-07-28 00:30:00+00:00,EURUSD,buy,1.17585,1.17575,1.17595,1.17575,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-28 00:40:00+00:00,EURUSD,buy,1.17593,1.17583,1.17603,1.17583,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-28 00:50:00+00:00,EURUSD,buy,1.17582,1.17572,1.17592,1.17592,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0015999999999998238
2025-07-28 01:00:00+00:00,EURUSD,buy,1.17655,1.17645,1.17665,1.17645,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0016999999999998128
2025-07-28 01:10:00+00:00,EURUSD,sell,1.17521,1.17531,1.17511,1.17531,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0017999999999998018
2025-07-28 01:20:00+00:00,EURUSD,buy,1.17582,1.17572,1.17592,1.17572,-9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0018999999999997907
2025-07-28 01:30:00+00:00,EURUSD,buy,1.1756199999999999,1.17552,1.1757199999999999,1.1757199999999999,9.999999999998899e-05,fallback_api_error: up vs SMA20,-0.0017999999999998018
2025-07-28 01:40:00+00:00,EURUSD,sell,1.17547,1.17557,1.17537,1.17537,9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0016999999999998128
2025-07-28 01:50:00+00:00,EURUSD,sell,1.17553,1.17563,1.17543,1.17563,-9.999999999998899e-05,fallback_api_error: down vs SMA20,-0.0017999999999998018
