time,symbol,action,entry,sl,tp,exit,pnl,reason,exit_reason,volume_lots,equity_before,equity_after,pnl_cum
2025-07-02 13:50:00+00:00,EURUSD,sell,1.17682,1.1775271428571428,1.1752642857142857,,0.0,"Sell: trend_sell_ok true and direction/impulsion aligned (slope_sma20<0, slope_sma100<=0, dist_sma20<0); session=newyork with overlap; vol_rel and atr_ratio pass thresholds; RSI neutral; spread affordable; ATR-based risk parameters applied (SL ~0.00070714, TP ~0.00155571).",,0.99,15000.0,15000.0,0.0
2025-07-02 13:55:00+00:00,EURUSD,sell,1.17655,1.1772777143,1.1749490292,,0.0,"sell signal due to trend_sell_ok and directional_impulse (slope_sma20<0, slope_sma100<=0, dist_sma20<0); session=newyork with overlap; vol_rel and atr_ratio pass thresholds; rsi14 not extreme; spread acceptable; supertrend_dir=down and adx14>=adx_min; risk params computed (sl_points = max(1.8*atr, 3*spread, 1.2*stop_min), tp_points = max(2.2*sl_points, 1.5*atr)).",,0.96,15000.0,15000.0,0.0
2025-07-02 14:00:00+00:00,EURUSD,sell,1.17666,1.177371,1.1750958,,0.0,"sell: dist_sma20<0, slope_sma20<0, slope_sma100<=0; supertrend_dir=down and adx14>=adx_min; vol_rel>=vol_rel_min and atr_ratio>=atr_ratio_min; session=newyork with overlap (acceptable); spread_price < 0.6*atr; ATR-based SL/TP computed (sl_mult=1.8, tp_rr=2.2) and min constraints satisfied; cooldown/killer inactive; trend_sell_ok is true, trend_buy_ok false; risk checks passed.",,0.98,15000.0,15000.0,0.0
2025-07-02 14:05:00+00:00,EURUSD,sell,1.17682,1.1775309999999999,1.1752558,,0.0,"Sell valid: session NY; trend_sell_ok true; direction criteria met (slope_sma20<0, slope_sma100<=0, dist_sma20<0); vol_rel et atr_ratio >= seuils; RSI non extrême; spread acceptable; ATR-based SL/TP (SL=1.8*ATR=0.000711, TP≈2.2*SL=0.0015642); supertrend_dir down et ADX>20; max_trades_per_day non atteint; cooldown/kill_switch inactive.",,0.98,15000.0,15000.0,0.0
2025-07-02 14:10:00+00:00,EURUSD,sell,1.1768299999999998,1.1774921428571428,1.1753732857142856,1.1754532857142856,120.00101512635688,"sell: trend_sell_ok true; direction/impulsion satisfied (slope_sma20<0, slope_sma100<=0, dist_sma20<0); supertrend_dir=down; adx14>=adx_min; session=newyork with overlap; vol_rel and atr_ratio above thresholds (vol_rel_min=1.1, atr_ratio_min=1.0); rsi14 not extreme; spread_price below 0.6*atr; cooldown_active false; kill_switch_active false; trades_in_day under max",TP,1.05,15000.0,15120.001015126358,120.00101512635688
2025-07-02 15:05:00+00:00,EURUSD,sell,1.17539,1.176272,1.1734495999999999,1.176352,-68.64418473332964,"trend_sell_ok is true; slope_sma20<0, slope_sma100<=0, dist_sma20<0; vol_rel=1.255>vol_rel_min(1.1) and atr_ratio=1.327>atr_ratio_min(1.0); session=newyork (is_session_overlap=1) allowed; rsi14=35.37 not extreme; spread_price=0.00016 < 0.6*atr(≈0.000294); atr=0.00049 > atr_min_hint(0.00025); cooldown_active=false; kill_switch_active=false; supertrend_dir=down and adx14=41.57>=adx_min(20); loss_pressure=0; trades_in_day=5<max_trades_per_day(6).",SL,0.8,15120.0,15051.356830393028,51.35683039302724
2025-07-03 10:50:00+00:00,EURUSD,buy,1.18032,1.1795344285714287,1.1825196,,0.0,"Buy: trend_buy_ok true; slope_sma20 >0, slope_sma100 >=0, dist_sma20 >0; session london_open; vol_rel and atr_ratio pass thresholds (vol_rel_min=1.1, atr_ratio_min=1.0); RSI not extreme; spread acceptable; ATR-based risk within limits; supertrend_dir up and adx14 >= adx_min; cooldown/kill_switch inactive; loss_pressure low; trades_in_day below limit.",,0.89,15051.36,15051.36,51.35683039302724
2025-07-03 10:55:00+00:00,EURUSD,buy,1.18045,1.1796451428571428,1.1827036,,0.0,"buy: trend_buy_ok, session london_open; buy conditions met: slope_sma20>0, slope_sma100>=0, dist_sma20>0; supertrend_dir=up and adx14>=adx_min; vol_rel=1.372>vol_rel_min(1.1), atr_ratio=1.653>atr_ratio_min(1.0); rsi14 not extreme; spread_price < 0.6*atr; cooldown_active false; kill_switch_active false; loss_pressure=0.25 (normal); trades_in_day=1 (< max_trades_per_day=6)",,0.87,15051.36,15051.36,51.35683039302724
2025-07-03 11:00:00+00:00,EURUSD,buy,1.1802100000000002,1.1793669285714288,1.1825706000000005,,0.0,"Buy allowed: trend_buy_ok=true; session london_open; slope_sma20>0; slope_sma100>=0; dist_sma20>0; rsi14=56.27 (not overbought); spread_price=0.00016 < 0.6*atr; atr_min_hint=0.00025; cooldown false; kill_switch false; supertrend_dir=up; adx14=25.2 >= adx_min(20); loss_pressure=0.25 (<1); vol_rel=1.394 > vol_rel_min(1.1); atr_ratio=1.664 > atr_ratio_min(1.0). Risk: sl_mult≈1.85 (normal regime), tp_rr≈2.8 due to atr_ratio>1.6; sl_points=max(1.85*atr,3*spread_price,1.2*stop_level_min)=0.000843071..., tp_points=max(tp_rr*sl_points,1.5*atr)=0.0023606...",,0.83,15051.36,15051.36,51.35683039302724
2025-07-03 11:05:00+00:00,EURUSD,buy,1.18043,1.1795942857000001,1.18277,,0.0,"buy allowed by trend_buy_ok; session london_open; slope_sma20>0, slope_sma100>=0, dist_sma20>0; vol_rel (1.352) >= vol_rel_min (1.1) and atr_ratio (1.674) >= atr_ratio_min (1.0); supertrend_dir up with adx14 (24.28) >= adx_min (20); rsi14 (56.63) not extreme; spread_price (0.00016) < 0.6*atr; cooldown_active false; kill_switch_active false; loss_pressure 0.25 (normal); risk: sl_mult=1.8, tp_rr≈2.8; sl_points=max(1.8*atr,3*spread_price,1.2*stop_level_min)=0.0008357143; tp_points=max(tp_rr*sl_points,1.5*atr)≈0.00234.",,0.84,15051.36,15051.36,51.35683039302724
