time,symbol,action,entry,sl,tp,exit,pnl,reason,exit_reason,volume_lots,equity_before,equity_after,pnl_cum
2025-07-02 13:20:00+00:00,EURUSD,sell,1.1775900000000001,1.178369142857143,1.1758758857142857,1.1759058857142857,62.92689339964777,"SELL: strong ADX14 (≥adx_min), trend_sell_ok, supertrend_dir down, slope_sma20<0, slope_sma100≤0, htf_bias≤0, session=newyork with is_session_overlap=1. vol_rel and atr_ratio exceed dynamic mins (vol_rel_min=1.1, atr_ratio_min=1.0). spread_penalty modest but acceptable; cooldown inactive; event_window_inactive.; conf=0.72; size×=0.52",TP,0.46,15000.0,15062.926893399648,62.92689339964777
2025-07-02 15:05:00+00:00,EURUSD,sell,1.17544,1.176322,1.1733232,1.176352,-44.98154896385774,"SELL: trend_sell_ok true, supertrend_dir down, adx14>=adx_min, slope_sma20<0, slope_sma100<=0, dist_sma20<0, is_session_overlap==1 (session=newyork), htf_bias<=0. vol_rel>vol_rel_min and atr_ratio>atr_ratio_min; cooldown_active false; spread_penalty moderate but acceptable. Using dynamic minima vol_rel_min=1.1 and atr_ratio_min=1.0; sl_mult in [1.7,2.3] -> 1.8; tp_rr in [2.0,2.8] -> 2.4. SL = max(1.8*atr, 3*spread_price, 1.2*stop_level_min) = max(0.000882,0.00018,0) = 0.000882. TP = max(tp_rr*SL, 1.5*atr) = max(2.4*0.000882,0.000735) = 0.0021168.; conf=0.82; size×=0.67",SL,0.53,15062.93,15017.94534443579,17.945344435790027
2025-07-03 04:35:00+00:00,EURUSD,buy,1.1808699999999999,1.180342857142857,1.1820297142857141,1.180312857142857,-37.65431853860811,BUY: trend_buy_ok + supertrend_dir up + adx14>=adx_min + slope_sma20>0 + slope_sma100>=0 + dist_sma20>0 + htf_bias>=0; session tokyo (non-optimal session) mais indices robustes; spread faible; ATR-based SL/TP.; conf=0.72; size×=0.52,SL,0.69,15017.95,14980.29102589718,-19.708974102818082
2025-07-03 10:35:00+00:00,EURUSD,buy,1.18095,1.1800614285714286,1.1836157142857142,1.1800314285714286,-34.17277862552231,"BUY: strong trend indicators (trend_buy_ok, supertrend_dir up, adx14>=adx_min), positive SMA slopes/dist_sma20, london_open session, htf_bias>=0. RSI=74.59 triggers extreme RSI penalty reducing buy score; ATR-based SL/TP computed with sl_mult=2.0 and tp_rr=3.0. Spread is small but considered.; conf=0.72; size×=0.52",SL,0.4,14980.29,14946.11824727166,-53.881752728340395
2025-07-03 11:35:00+00:00,EURUSD,buy,1.18011,1.179144,1.1821386,1.179114,-44.18071774379453,"Bullish alignment: trend_buy_ok, supertrend_dir up, adx14>=adx_min, slope_sma20>0, slope_sma100>=0, session london_open, htf_bias>=0; spread small; ATR-based risk allows modest SL/TP; loss_pressure high -> cautious but favorable session/trend alignment justify long.; conf=0.82; size×=0.67",SL,0.48,14946.12,14901.937529527864,-98.06247047213492
2025-07-03 15:35:00+00:00,EURUSD,sell,1.17236,1.1740128571428572,1.1674014285714287,1.1740428571428572,-34.6587583234827,"SELL: ADX14 >= adx_min (24.98 >=20), supertrend_dir down, trend_sma signals align with down (slope_sma20<0, slope_sma100<=0, dist_sma20<0), session NY with overlapping session adds bonus, htf_bias<=0; RSI extreme penalizes BUY and reduces SELL appeal but the overall edge remains strong due to multiple confluences; high loss_pressure (3.0) yields stricter thresholds and a clear sell edge.; conf=0.75; size×=0.56",SL,0.23,14901.94,14867.278771204381,-132.7212287956176
2025-07-03 16:05:00+00:00,EURUSD,sell,1.17408,1.1768885714285713,1.165654285714286,1.1769185714285713,-42.39299724695064,"SELL: trend_sell_ok, supertrend_dir=down, adx14>=adx_min, slope_sma20<0, slope_sma100<=0, dist_sma20<0, session=newyork, htf_bias<=0; loss_pressure=3.0 → alignement fort malgré prudence; vol_rel=2.1608, atr_ratio=3.5049; spread_penalty modéré; calibrage SL/TP avec sl_mult=2.0 et tp_rr=3.0; vol_min_used=1.1, atr_min_used=1.0; conf=0.85; size×=0.72",SL,0.17,14867.28,14824.88577395743,-175.11422604256825
2025-07-04 07:50:00+00:00,EURUSD,buy,1.17783,1.1773001071428568,1.179154732142857,1.1772701071428568,-35.62408464552586,"BUY: trend_buy_ok + supertrend_dir up + adx14>=20 + slope_sma20>0 + slope_sma100>=0 + dist_sma20>0 + htf_bias>=0; vol_rel/atr_ratio > mins; session tokyo autorisée; perte de pression modérée → choix des multipliers (sl_mult dans [1.7,2.3], tp_rr dans [2.0,2.8]); respect des règles de calcul ATR et spreads.; conf=0.68; size×=0.50",SL,0.65,14824.89,14789.261689311905,-210.73831068809412
2025-07-07 00:20:00+00:00,EURUSD,buy,1.17799,1.1771041428571432,1.1804704000000001,1.1770741428571432,-34.08007523611134,"BUY: trend_buy_ok, supertrend_dir up, adx14>=adx_min, slope_sma20>0, slope_sma100>=0, dist_sma20>0, htf_bias>=0; vol_rel and atr_ratio above minima; session Tokyo présente une légère pondération négative mais les autres indices restent solides; aucun critère de flat actif.; conf=0.72; size×=0.52",SL,0.4,14789.26,14755.181614075793,-244.81838592420547
2025-07-07 09:35:00+00:00,EURUSD,sell,1.17521,1.1760303928571,1.1734051357144002,1.1734351357144002,62.15489005080095,"Sell favored: supertrend_dir down, trend_sell_ok true, adx14>=adx_min, slope_sma20<0, slope_sma100<=0, dist_sma20<0, session london_open, htf_bias<=0. RSI near floor (27.5) incurs minor SELL penalty but not prohibitive. Volatility measures (vol_rel 1.213, atr_ratio 1.372) exceed dyn thresholds; spread small. Loss_pressure ~1.44 is moderate, leading to a balanced risk-reward but still tilt toward SELL; event window inactive; cooldown/kill_switch inactive.; conf=0.72; size×=0.52",TP,0.43,14755.18,14817.336504126593,-182.66349587340451
